"Now Shopping by","Ora acquista per"
"Rma Item Eav Attributes","Attributi Eav elemento Rma"
"User Defined Eav Attributes","Attributi eav definiti dall'utente"
"Data from app/etc/env.php","Dati da app/etc/env.php"
Group,Gruppo
"Is Gateway","È il Gateway"
"For Checkout","Per il Checkout"
"For Multishipping","Per la spedizione multipla"
"Partial Capture Online","Acquisizione parziale online"
"Refund Online","Rimborso online"
"Partial Refund Online","Rimborso parziale online"
"Partial Capture Offline","Acquisizione parziale offline"
"Partial Refund Offline","Rimborso parziale offline"
"Payments Functionality Matrix","Matrice funzionalità pagamenti"
"Cron Expression","Espressione Cron"
"Run Class","Esegui Classe"
"Run Method","Esegui Metodo"
"Group Code","Codice gruppo"
"All Configurable Cron Jobs","Tutti i cron jobs configurabili"
"All Global Cron Jobs","Tutti i cron jobs globali"
"Cron Schedules List","Elenco cron pianificati"
"Schedule Id","Id pianificazione"
"Scheduled At","Previsto alle"
"Executed At","Eseguiti alle"
"Finished At","Finito alle"
"Core Configurable Cron Jobs","Core configurabile Cron Jobs"
"Cron Schedules by job code","Cron pianificati da job code"
Count,Conto
"Cron Schedules by status code","Pianificazioni Cron per codice status"
"Errors in Cron Schedules Queue","Errori nella coda cron pianificato"
"Corrupted Categories Data","Categorie danneggiato dati"
"Expected Children Count","Bambini previsto Conto"
"Actual Children Count","Conteggio effettivo bambini"
"Expected Level","Livello previsto"
"Actual Level","Livello attuale"
"Duplicate Categories By URL Key","Duplicare le categorie di URL chiave"
"Duplicate Orders By Increment Id","Ordini duplicati dall'incremento Id"
"Customer Id","Id cliente"
"Duplicate Products By SKU","Prodotti duplicati per SKU"
"Duplicate Products By URL Key","Prodotti duplicati di chiave URL"
"Duplicate Users By Email","Duplicare gli utenti via Email"
Parent,Genitore
"Adminhtml Themes List","Elenco dei temi adminhtml"
"Frontend Themes List","Elenco dei temi frontend"
"Event Name","Nome dell'evento"
"Observer Class","Classe di osservatore"
Method,Metodo
"All Admin Events","Tutti gli eventi Admin"
"All Crontab Events","Tutti gli eventi Crontab"
"All Doc Events","Tutti gli eventi Doc"
"All Frontend Events","Tutti gli eventi Frontend"
"All Global events","Tutti gli eventi globali"
"All REST Events","Tutti gli eventi REST"
"All SOAP Events","Tutti gli eventi SOAP"
"Core Admin Events","Eventi Core Admin"
"Core Crontab Events","Eventi Core Crontab"
"Core Doc Events","Eventi Core Doc"
"Core Frontend Events","Eventi Core Frontend"
"Core Global Events","Eventi Core Global"
"Core REST Events","Eventi Core REST"
"Core SOAP Events","Eventi Core SOAP"
"Custom Admin Events","Eventi di Admin personalizzato"
"Custom Crontab Events","Eventi personalizzati Crontab"
"Custom Doc Events","Eventi personalizzati Doc"
"Custom Frontend Events","Eventi personalizzati Frontend"
"Custom Global Events","Eventi globali personalizzati"
"Custom REST Events","Eventi REST Personalizzati"
"Custom SOAP Events","Eventi SOAP Personalizzati"
"Log Files","File Log"
"Log Entries","Voci Log"
"Last Update","Ultimo aggiornamento"
"Today's Top Debug Messages","Messaggi di Debug Top di oggi"
"Last Occurrence","Ultima occorrenza"
"Today's Top Exception Messages","Messaggi di eccezione Top di oggi"
"Stack Trace","Analisi dello stack"
"Today's Top System Messages","Messaggi di sistema Top di oggi"
"Top Debug Messages","Messaggi di Debug superiore"
"Top Exception Messages","Messaggi di eccezione superiore"
"Top System Messages","Messaggi di sistema superiore"
"Store Views List","Elenco viste negozio"
"Stores List","Elenco Negozi"
"Websites List","Elenco website"
"Websites Tree","Alberatura website"
"There was an error while loading system report data.","C'è stato un errore durante il caricamento dei dati del report di sistema."
"Cannot save backup. The reason is: Utility lsof not found","Non è possibile salvare il backup. La ragione è: utilità lsof non trovato"
"Test error","Errore test"
"Entity Type Code","Codice tipo entità"
"Source Model","Model sorgente"
"Backend Model","Model Backend"
"Frontend Model","Model Frontend"
"Show Log","Visualizza i Log"
"Delete ""%1""","Elimina ""%1"""
"Are you sure you want to delete a ""%1"" record?","Sei sicuro di voler eliminare ""%1"" record?"
"Are you sure you wan't to delete a ""%1"" record?","Sei sicuro di non voler eliminare ""%1"" record?"
"Empty log","Log vuoto"
"Backup ID: ","ID backup: "
Collapse,Comprimi
Expand,Espandi
" (no data)"," (nessun dato)"
Top,"In alto"
"No data","Nessun dato"
"Support System Report","Report sistema di supporto"
"System Report","Reports di sistema"
Data,Dati
Modules,Moduli
Events,Eventi
"New Backup","Nuovo Backup"
"Refresh Status","Aggiorna Status"
"Are you sure you want to delete selected item(s)?","Sei sicuro di che voler eliminare gli elementi selezionati?"
"Code Dump","Codice Dump"
"DB Dump","Dump DB"
"Choose Report Groups","Scegliere i gruppi di Report"
"New Report","Nuovo Report"
"Date Generated","Data di generazione"
"Report Groups","Gruppi Report"
"Save and Continue","Salva e Continua"
"Save Configuration","Salva configurazione"
Themes,Temi
"Are you sure you want to delete this theme?","Sei sicuro di voler eliminare questo tema?"
"Theme: %1","Tema: %1"
"Theme CSS","CSS Tema"
"Theme CSS Assets","Assets CSS Tema"
"Custom CSS","CSS personalizzato"
"Select CSS File to Upload","Selezionare File CSS da caricare"
"Upload CSS File","Carica File CSS"
"Download CSS File","Scarica i file CSS"
Manage,Gestisci
"Images Assets","Assets immagini"
"Upload Fonts","Carica i font"
"Fonts Assets","Assets Font"
"Edit custom.css","Modifica custom.css"
"Allowed file types *.css.","Tipi di file permessi *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Questo file andrà a sostituire il file custom.css corrente e non può essere più grande di 2 MB."
"Max file size to upload %1M","Dimensione massima del file da caricare di %1M"
"Something is wrong with the file upload settings.","C'è qualcosa di sbagliato nelle impostazioni di upload dei file."
"CSS Editor","Editor CSS"
"Theme Settings","Impostazioni del tema"
"Parent Theme","Tema parente"
"Theme Path","Percorso tema"
"Theme Title","Titolo tema"
"Theme Preview Image","Immagine di anteprima tema"
"Copy of %1","Copia di %1"
"Max image size %1M","Dimensione massima dell'immagine %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Selezion file JS per l'Upload"
"Upload JS Files","Carica i file JS"
"JS Editor","Editor JS"
"Allowed file types *.js.","Tipi di file permessi *.js."
welcome,Benvenuto
"Design Configuration","Configurazione Design"
"You deleted the theme.","Hai eliminato il tema."
"We cannot delete the theme.","Non è possibile eliminare il tema."
"File not found: ""%1"".","File non trovato: ""%1""."
"We can't find file.","Non è possibile trovare il file."
"We cannot find theme ""%1"".","Non è possibile trovare il tema ""%1""."
"We cannot find the theme.","Non è possibile trovare il tema."
"This theme is not editable.","Questo tema non è modificabile."
"You saved the theme.","Hai salvato il tema."
"We can't upload the CSS file right now.","Non è possibile caricare il file css in questo momento."
"We cannot find a theme with id ""%1"".","Non è possibile trovare un tema con id ""%1""."
"We can't upload the JS file right now.","Non è possibile caricare il file JS in questo momento."
"Sorry, something went wrong. That's all we know.","Qualcosa è andato storto. Questo è tutto quello che sappiamo."
"Invalid type","Tipo non valido"
"Invalid scope or scope id","Ambito o id dell'ambito non valido"
"%1 does not contain field '%2'","%1 non contiene il campo '%2'"
"Invalid regular expression: ""%1"".","Espressione regolare non valida: ""%1""."
"%1 does not contain field 'file'","%1 non contiene il campo 'file'"
"Backend model is not specified for %1","Il modello di back-end non è specificato per %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","%templateName contiene una configurazione non corretta. Il modello ha un riferimento a se stesso. Rimuovere o modificare il riferimento."
"Can not save empty config","Impossibile salvare una configurazione vuota"
"The start date can't follow the end date.","La data di inizio non può seguire la data di fine."
"The date range for this design change overlaps another design change for the specified store.","L'intervallo di date per questa modifica di design si sovrappone con un'altra modifica di design per lo store specificato."
"Theme id should be set","L'id del tema deve essere impostato"
"Circular-reference in theme inheritance detected for ""%1""","Riferimento circolare all'ereditarietà del tema rilevato per ""%1"""
"The CSS file must be less than %1M.","Il file CSS deve essere minore di %1M."
"The JS file must be less than %1M.","Il file JS deve essere inferiore a %1M."
"Use only standard alphanumeric, dashes and underscores.","Usa solo alfanumerico standard, trattini e underscore."
"We found a directory with the same name.","Abbiamo trovato una directory con lo stesso nome."
"We cannot find a directory with this name.","Non è stata trovata una directory con questo nome."
"Theme isn't deletable.","Il tema non è cancellabile."
"localized exception","eccezione localizzata"
"Test Label","Etichetta di prova"
Phrase,Frase
"We found no files.","Non abbiamo trovato nessun file."
"Browse Files","Sfoglia i File"
Scope:,Ambito:
"Help Us Keep Magento Healthy","Aiutaci a mantenere Magento in salute"
"Report All Bugs","Segnala tutti i Bugs"
"JavaScript seems to be disabled in your browser.","I JavaScript sembrano essere disabilitati nel tuo browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Per una migliore esperienza sul nostro sito, assicurati di attivare i javascript nel tuo browser."
"Local Storage seems to be disabled in your browser.","La memorizzazione locale sembra essere disabilitato nel tuo browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Per la migliore esperienza sul nostro sito, assicurati di attivare la memorizzazione locale nel tuo browser."
"This is demo store. No orders will be fulfilled.","Questo è un negozio demo. Nessun ordine verrà evaso."
"Items %1 to %2 of %3 total","%1 elementi di %2 di %3 totali"
"%1 Item(s)","%1 elementi"
"Check the status of orders","Controllare lo stato degli ordini"
"View past orders","Visualizzare gli ordini precedenti"
"Store alternative addresses (for shipping to multiple family members and friends)","Aggiungere indirizzi alternativi (per la spedizione a più membri della famiglia e agli amici)"
"We don't recognize this file extension.","Non riconosciamo questa estensione file."
"1 column","1 colonna"
"Default welcome msg!","Testo di benvenuto predefinito!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. Tutti i diritti riservati."
"Design Config Grid","Griglia di configurazione del Design"
"Rebuild design config grid index","Rigenera l'indice della griglia di configurazione design"
"Admin empty","Admin vuoto"
"Admin 1column","Admin 1colonna"
"Theme Information","Informazioni tema"
"HTML Head","Head HTML"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Tipi di file consentiti: ico, png, gif, jpg, jpeg, apng. Non tutti i browser supportano tutti questi formati!"
"Favicon Icon","Icona Favicon"
"Default Page Title","Titolo pagina predefinito"
"Page Title Prefix","Prefisso del titolo di pagina"
"Page Title Suffix","Suffisso del titolo di pagina"
"Default Meta Description","Meta Descrizione predefinita"
"Default Meta Keywords","Meta Keywords predefinite"
"This will be included before head closing tag in page HTML.","Questo sarà incluso prima della chiusura dei tag head nell'HTML della pagina."
"Scripts and Style Sheets","Gli Script e i Fogli di Stile"
"Display Demo Store Notice","Mostra Avviso Negozio Demo"
Header,Intestazione
"Allowed file types: png, gif, jpg, jpeg.","Tipi di file consentiti: png, gif, jpg, jpeg."
"Logo Image","Immagine logo"
"Logo Attribute Width","Attributo Larghezza logo"
"Logo Attribute Height","Attributo Altezza logo"
"Welcome Text","Testo di benvenuto"
"Logo Image Alt","Alt Immagine Logo"
"This will be displayed just before the body closing tag.","Questo verrà visualizzato poco prima del tag di chiusura del body."
"Miscellaneous HTML","Vario HTML"
"Default Robots","Robots Predefiniti"
"Edit custom instruction of robots.txt File","Modifica l'istruzione personalizzata del file robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Questa azione eliminerà le istruzioni personalizzate e ripristinerà il file robots.txt alle impostazioni predefinite del sistema."
"Reset To Defaults","Ripristina le impostazioni iniziali"
"Skip to Content","Salta al contenuto"
"2 columns with left bar","2 colonne con barra a sinistra"
"2 columns with right bar","2 colonne con barra a destra"
"3 columns","3 colonne"
"Exception does not contain field '%1'","L'eccezione non contiene il campo '%1'"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipi di file consentiti: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Non tutti i browser supportano tutti questi formati!"
"Title Prefix","Prefisso Titolo"
"Title Suffix","Suffisso Titolo"
"Default Description","Descrizione predefinita"
"Default Keywords","Keywords predefinite"
"Miscellaneous Scripts","Script vari"
"Search Engine Robots","Robots motori di ricerca"
"Reset to Defaults","Ripristina predefiniti"
"Logo Image Width","Larghezza immagine logo"
"Logo Image Height","Altezza immagine logo"
"This will be displayed just before body closing tag.","Questo verrà visualizzato poco prima della chiusura del tag body."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. Tutti i diritti riservati."
"Wrong request.","Richiesta errata."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. Tutti i diritti riservati."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. Tutti i diritti riservati."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Tipi di file consentiti: ico, png, gif, jpg, jpeg, apng, svg. Non tutti i browser supportano tutti questi formati!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Tipi di file consentiti: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. Tutti i diritti riservati."
"AVS result code","Codice di risultato AVS"
"CVN result code","Codice di risultato CVN"
"Card expiry date","Data di scadenza della carta"
Decision,Decisione
"Risk Factor","Fattore Rischio"
"Reference number","Numero di riferimento"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Cambiamento di indirizzo eccessivo. Il cliente ha cambiato l'indirizzo di fatturazione due o più volte negli ultimi sei mesi"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Rischio carta BIN o autorizzazione. Fattori di rischio sono correlati alla carta di credito BIN e/o controlli di autorizzazione della carta"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Elevato numero di numeri di conto. Il cliente ha utilizzato più di sei numeri di carte di credito negli ultimi sei mesi"
"Email address impact. The customer uses a free email provider, or the email address is risky","Impressioni indirizzo email. Il cliente utilizza un email provider gratuito, o l'indirizzo email è rischioso"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Elenco positivo. Il cliente è sulla tua lista positiva.  Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Lista negativa. Il numero di conto, indirizzo, indirizzo email o indirizzo IP per questo ordine sono visualizzati sulla tua lista negativa"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Incoerenze di geolocalizzazione. Il dominio dell'email, il numero di telefono, l'indirizzo di fatturazione, l'indirizzo di spedizione o l'indirizzo IP del cliente sono sospetti"
"Excessive name changes. The customer changed the name two or more times in the last six months","Cambiamenti di nome eccessivi. Il cliente ha cambiato il nome due o più volte negli ultimi sei mesi"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Incoerenze di Internet. L'indirizzo IP e il dominio dell'email non sono coerenti con l'indirizzo di fatturazione"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Input senza senso. Il nome cliente e il campo indirizzo contengono parole senza senso o di una lingua sconosciuta"
"Obscenities. The customer’s input contains obscene words","Oscenità. Il testo inserito dal cliente contiene parole oscene"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identity morphing. Più valori di un elemento di identity sono collegati a un valore di un elemento di identiy diverso. Ad esempio, i numeri di telefono multipli sono legati a un numero di un singolo account"
"Phone inconsistencies. The customer’s phone number is suspicious","Incoerenze numero di telefono. Il numero di telefono del cliente è sospetto"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Ordine rischioso. Le informazioni sulla transazione, sul cliente e sul venditore mostrano diverse correlazioni ad alto rischio"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Tempo di copertura. Il cliente sta cercando di acquistare fuori dall'orario previsto"
"Unverifiable address. The billing or shipping address cannot be verified","Indirizzo non verificabile. L'indirizzo di fatturazione o di spedizione non può essere verificato"
"Velocity. The account number was use  many times in the past 15 minutes","Velocità. Il numero di conto è stato usato molte volte negli ultimi 15 minuti"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Contrassegnato come sospetto. L'indirizzo di fatturazione o di spedizione è simile a un indirizzo precedentemente contrassegnato come sospetto"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Ordine regalo. L'indirizzo, città, provincia o paese gli indirizzi di fatturazione e spedizione non sono correlati"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Valore non valido. Poiché la richiesta contiene un valore imprevisto, è stato sostituito un valore predefinito. Anche se la transazione può ancora essere elaborata, esaminare la richiesta con attenzione per eventuali anomalie nell'ordine"
"Unknown factor. Please contact Cybersource customer service","Fattore sconosciuto. Si prega di contattare il servizio clienti di Cybersource"
"Payment Token Build Error.","Errore di compilazione Token di pagamento."
"Your payment has been declined. Please try again.","Il tuo pagamento è stato rifiutato. Si prega di riprovare."
"CC type field should be provided","Il campo tipo CC deve essere fornito"
"Gateway validation error","Errore di validazione gateway"
"Risk Factor Q","Fattore di rischio Q"
"Risk Factor V","Fattore di rischio V"
"Profile ID","ID profilo"
"Access Key","Chiave di accesso"
"Secret Key","Chiave segreta"
"Webhook URL","URL del webhook"
"Allowed Scopes","Ambiti consentiti"
"You need more permissions to delete this item(s): %1.","Non hai sufficienti diritti per eliminare gli elementi seguenti: %1."
"You need more permissions to apply some of the rule updates.","Non hai permessi sufficienti per applicare alcuni aggiornamenti alle regole."
"Please assign this entity to a store view.","Si prega di assegnare l'entità a una vista negozio."
"You can create orders only in an active store.","È possibile creare ordini solo in un negozio attivo."
"Please assign this item to a store view.","Si prega di assegnare l'elemento a una vista negozio."
"You need more permissions to save this item.","Non si dispone di diritti sufficienti per salvare l'elemento."
"You need more permissions to delete this item.","Non si dispone di diritti sufficienti per eliminare l'elemento."
"You need more permissions to view this item.","Non si dispone di diritti sufficienti per visualizzare l'elemento."
"Please specify at least one website or one store group.","Si prega di specificare un website o uno store group."
"You need more permissions to set All Scopes to a Role.","Non si dispone di diritti sufficienti per assegnare tutti gli ambiti al ruolo."
"Incorrect website ID: %1","ID Sito Web errato: %1"
"You need more permissions to access website ""%1"".","Non hai permessi sufficienti per accedere al sito web: ""%1""."
"Incorrect store ID: %1","ID negozio errato: %1"
"You need more permissions to save this setting.","Non si dispone di diritti sufficienti per salvare le impostazioni."
"Role Scopes","Ambiti del ruolo"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Non hai i permessi per salvare questo elemento nell'ambito della vista corrente del negozio. Si prega di passare alla vista negozio consentita"
"More permissions are needed to delete the ""%1"" item.","Sono necessari più permessi per eliminare l'elemento ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Questa entità deve essere assegnata a una vista negozio. Verifica l'assegnazione dell'entità e riprova."
"Orders can only be completed in an active store. Verify the store and try again.","Gli ordini possono essere completati solo in un negozio attivo. Verifica il negozio e riprova."
"This item needs to be assigned to a store view. Assign item and try again.","Questo elemento deve essere assegnato a una vista negozio. Assegna l'elemento e riprova."
"More permissions are needed to save this item.","Non hai i permessi necessari per salvare questo elemento."
"More permissions are needed to delete this item.","Non hai i permessi necessari per eliminare questo elemento."
"More permissions are needed to view this item.","Non hai i permessi necessari per visualizzare questo elemento."
"At least one website or store group needs to be selected. Select and try again.","È necessario selezionare almeno un sito web o un gruppo di negozi. Selezionare e riprovare."
"More permissions are needed to set All Scopes to a Role.","Sono necessari ulteriori permessi per impostare tutti gli ambiti in un ruolo."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","L'ID del sito Web di ""%1"" non è corretto. Verificare l'ID del sito Web e riprovare."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","L'ID del negozio di ""%1"" non è corretto. Verificare l'ID del negozio e riprovare."
"More permissions are needed to save this setting.","Non hai i permessi necessari per salvare queste impostazioni."
"Smth went to exception","Smth andato in eccezione"
"Remove Catalog Price Rule from Update","Rimuovi la regola del prezzo di catalogo dall'aggiornamento"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","La regola del prezzo di catalogo verrà rimossa dall'aggiornamento e tutte le modifiche pianificate andranno perse."
"Catalog Price Rules","Regole di prezzo del catalogo"
"Remove Catalog Price Rule from Campaign","Rimuovere la regola di prezzo catalogo dalla Campagna"
"Deleting the update will remove the catalog price rule from this campaign and all scheduled changes will be lost.","L'eliminazione dell'aggiornamento rimuoverà la regola prezzo di catalogo da questa campagna e tutte le modifiche pianificate andranno perse."
"Entity Sequence profile not added to meta active profile","Profilo di sequenza di entità non aggiunto al meta profilo attivo"
"Not enough arguments","Argomenti non sufficienti"
"Request content type must be application/json","Il contenuto della richiesta deve essere di tipo application/json"
"Store code %1 does not exist","Il codice store %1 non esiste"
"Entity code %1 does not exist.","Il codice entità %1 non esiste."
"Edit URL Rewrite for a Category","Modifica URL Rewrite per una categoria"
"Add URL Rewrite for a Category","Aggiungi URL Rewrite per una categoria"
Category:,Categoria:
"We can't set up a URL rewrite because the product you chose is not associated with a website.","Impossibile impostare un URL rewrite perché il prodotto che hai scelto non è associato a un sito web."
"Please assign a website to the selected category.","Assegna un sito web alla categoria selezionata."
"Edit URL Rewrite for a Product","Modifica URL Rewrite per un prodotto"
"Add URL Rewrite for a Product","Aggiungi URL Rewrite per un prodotto"
Product:,Prodotto:
"Skip Category Selection","Salta la selezione categoria"
"Edit URL Rewrite for CMS page","Modificare URL Rewrite per pagina CMS"
"Add URL Rewrite for CMS page","Aggiungi URL Rewrite per pagina CMS"
"CMS page:","Pagina CMS:"
"Please assign a website to the selected CMS page.","Assegna un website alla pagina CMS selezionata."
"Edit URL Rewrite","Modifica URL Rewrite"
"Add New URL Rewrite","Aggiungi nuova URL Rewrite"
"URL Rewrite Information","Informazioni URL rewrite"
"Request Path","Percorso richiesto"
"Target Path","Percorso di destinazione"
"Redirect Type","Tipo di Reindirizzamento"
"URL Rewrite Management","Gestione URL rewrite"
"Add URL Rewrite","Aggiungi URL Rewrite"
"For Category","Per categoria"
"For Product","Per prodotto"
"For CMS page","Per pagina CMS"
"Create URL Rewrite","Crea URL Rewrite"
"You deleted the URL rewrite.","Hai eliminato l'URL rewrite."
"We can't delete URL Rewrite right now.","Non è possibile eliminare l'URL Rewrite in questo momento."
"The product you chose is not associated with the selected store or category.","Il prodotto scelto non è associato al negozio o alla categoria selezionata."
"The category you chose is not associated with the selected store.","La categoria che scelta non è associata con il negozio selezionato."
"The URL Rewrite has been saved.","La URL rewrite è stata salvata."
"Something went wrong while saving URL Rewrite.","Qualcosa è andato storto durante il salvataggio dell'URL Rewrite."
"Do not use two or more consecutive slashes in the request path.","Non utilizzare due o più slash consecutivi nel percorso della richiesta."
"Anchor symbol (#) is not supported in request path.","Il simbolo di ancoraggio (#) non è supportato per il percorso richiesto."
"Do not use two or more consecutive slashes in the url rewrite suffix.","Non utilizzare due o più slash consecutivi nel suffisso dell'url rewrite."
"Anchor symbol (#) is not supported in url rewrite suffix.","Il simbolo di ancoraggio (#) non è supportato per il suffisso url rewrite."
"URL key for specified store already exists","Esiste già una URL key per il negozio specificato"
"Exception instance doesn't match %1 type","L'istanza dell'eccezione non corrisponde al tipo %1"
"Temporary (302)","Temporaneo (302)"
"Permanent (301)","Permanente (301)"
"Request Path for Specified Store","Percorso richiesto per negozio specificato"
"message %1","messaggio %1"
"Custom storage message","Messaggio di archiviazione personalizzato"
"Select Category","Seleziona una categoria"
"The value specified in the URL Key field would generate a URL that already exists.","Il valore specificato nel campo URL Key genererebbe un URL già esistente."
"To resolve this conflict, you can either change the value of the URL Key field (located in the Search Engine Optimization section) to a unique value, or change the Request Path fields in all locations listed below:","Per risolvere questo conflitto, è possibile modificare il valore del campo URL Key (che si trova nella sezione Search Engine Optimization) ad un valore univoco, o modificare tutti i campi richiesti nel percorso per tutte le posizioni elencate di seguito:"
"For category","Per categoria"
"For product","Per prodotto"
"Create URL Rewrite:","Crea URL Rewrite:"
"Product with assigned super attributes should not have specified ""%1"" value","Prodotto con caratteristiche di super attributi non dovrebbe avere specificato il valore ""%1"""
"All Segments","Tutti i Segmenti"
"Customer Segment","Segmento cliente"
"Billing Agreements","Accordi di fatturazione"
"Reference ID","ID di riferimento"
"Billing Agreement #%1","Accordo di fatturazione # %1"
"Related Orders","Ordini correlati"
Purchased,Acquistato
"Billing Agreement View","Vedi accordo di fatturazione"
"Are you sure you want to authorize full order amount?","Sei sicuro di voler autorizzare l'intero importo dell'ordine?"
"View Transaction Details","Vedi i dettagli della transazione"
"Reference Information","Informazioni di riferimento"
"Transaction Information","Informazioni sulle transazioni"
"PayPal Fee Information","Informazioni sulle commissioni PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Ci stiamo connettendo al server PayPal SFTP per recuperare nuovi report. Sei sicuro di che voler continuare?"
"Fetch Updates","Recuperare aggiornamenti"
Help,Guida
"View Demo","Visualizza Demo"
"See terms","Vedere le condizioni"
"You will be redirected to the PayPal website.","Verrai reindirizzati al sito di PayPal."
"You will be redirected to the PayPal website when you place an order.","Verrai reindirizzati al sito di PayPal dopo aver confermato l'ordine."
"Invalid block type","Tipo di blocco non valido"
"Please specify the correct billing agreement ID and try again.","Specifica l'ID accordo di fatturazione corretto e riprova."
"You canceled the billing agreement.","Hai cancellato l'accordo di fatturazione."
"We can't cancel the billing agreement.","Non è possibile cancellare l'accordo di fatturazione."
"You deleted the billing agreement.","Hai eliminato l'accordo di fatturazione."
"We can't delete the billing agreement.","Non è possibile eliminare l'accordo di fatturazione."
"Payment authorization has been successfully created.","Autorizzazione al pagamento correttamente creata."
"Unable to make payment authorization.","Impossibile autorizzare il pagamento."
"View Transaction","Vedi transazione"
"We found nothing to fetch because of an empty configuration.","Non abbiamo trovato nulla da recuperare a causa di una configurazione vuota."
"We fetched %1 report rows from ""%2@%3.""","Sono state recuperate %1 righe del report da ""%2@%3"""
"We can't fetch reports from ""%1@%2.""","Non è possibile recuperare i report da ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","L'accordo di fatturazione ""%1"" è stato cancellato."
"The billing agreement ""%1"" has been created.","L'accordo di fatturazione ""%1"" è stato creato."
"We couldn't finish the billing agreement wizard.","Impossibile completare la creazione guidata dell'accordo di fatturazione."
"We can't start the billing agreement wizard.","Impossibile avviare la creazione guidata dell'accordo di fatturazione."
"Billing Agreement # %1","Accordo di fatturazione # %1"
"We can't initialize Express Checkout.","Non è  possibile inizializzare Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token non esiste."
"A wrong PayPal Express Checkout Token is specified.","Un errato PayPal Express Checkout Token è stato specificato."
"Express Checkout and Order have been canceled.","L'ordine e l'express checkout sono stati cancellati."
"Express Checkout has been canceled.","L'express checkout è stato annullato."
"Unable to cancel Express Checkout","Impossibile annullare l'express checkout"
"We can't process Express Checkout approval.","Non è possibile elaborare l'approvazione del Checkout Express."
"We can't initialize Express Checkout review.","Non è possibile inizializzare il riepilogo del Checkout Express."
"We can't start Express Checkout.","Impossibile avviare l'express checkout."
"To check out, please sign in with your email address.","Per il checkout, registrati usando il tuo indirizzo email."
"Requested payment method does not match with order.","Il metodo di pagamento richiesto non corrisponde con l'ordine."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Vuoi completare l'accordo di fatturazione per velocizzare gli acquisti con PayPal?"
"Error processing payment, please try again later.","Errore durante l'elaborazione del pagamento, riprova più tardi."
"Authorization is not allowed.","L'azione autorizza non è concessa."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Il gateway di pagamento non è raggiungibile al momento. Utilizzare un altro metodo di pagamento."
"PayPal response hasn't required fields.","La risposta di PayPal non ha campi obbligatori."
"Something went wrong while processing your order.","Qualcosa è andata storta durante l'elaborazione del tuo ordine."
